drummer,genre
熊谷徳明,フュージョン
粂井宏昭,ロック
クライド・スタブルフィールド,"ファンク, R&B, ソウル"
倉澤圭介,"J-POP, ロック"
クリス・スレイド,ロック
クリスチャン・ヴァンデ,ロック
クリストファー・パーカー,フュージョン
車谷啓介,J-POP
GRACE ,J-POP
グレゴリー・ハッチンソン,ジャズ
グレッグ・エリコ,"ソウル, ファンク, R&B"
グレッグ・ビソネット,"ポップス, ロック, ジャズ"
黒瀬蛙一,"J-POP, ロック"
ケニー・クラーク,ジャズ
ケニー・ジョーンズ,ロック
ケヴィン・ゴドレイ,ロック
小泉貴裕,"J-POP, ロック"
小泉拓,"J-POP, ロック"
航,"ロック, ラテン, ジャズ"
KOUICHI,ロック
コージー・パウエル,ロック
KO-HEY,"J-POP, R&B"
國分建臣,"J-POP, ロック"
小橋琢人,"J-POP, ロック"
小林雅之,J-POP
小柳昌法,J-POP
斉藤光子,ロック
サイモン・フィリップス,"フュージョン, ハードロック, ヘヴィメタル"
サイモン・ライト,"ハード・ロック, ヘヴィメタル"
坂井俊彦,ロック
﨑山龍男,"ロック, J-POP"
sakura,ロック
桜井誠,ロック
櫻井雄一,ロック
佐々木隆,フュージョン
ササキ・ユタカ,ジャズ
ZAX,ロック
SASSY,"ロック, J-POP"
佐藤栄太郎,"J-POP, ロック"
佐藤奏,"ジャズ, フュージョン, J-POP"
佐藤シンイチロウ,"ロック, パンク"
佐藤貴志,ロック
佐野康夫,J-POP
沢木優,ロック
ザック・スターキー,ロック
サンコンJr.,"ロック, J-POP"
サンディ・ウェスト,"ロック, ハードロック, パンク"
椎野恭一,ロック
シーラ・E,"ポップス, ファンク, ラテン, サルサ, R&B, ソウル"
ジーン・クルーパ,ジャズ
ジェット・ブラック,ロック
シェーン・ガラース,"ヘヴィメタル, ハードロック, ロック, ポップス"
ジェフ・ハミルトン,ジャズ
ジェフ・バラード,"ジャズ, ロック"
ジェフ・ポーカロ,"ロック, R&B"
ジェフ・ワッツ,ジャズ
シェリー・マン,ジャズ
ジェレミー・ステーシー,"ポップス, ロック, ジャズ, プログレッシブ"
柴田一郎,ロック
SHIHO,J-POP
島村英二,J-POP
ジミー・コブ,ジャズ
ジミー原田,ジャズ
ジム・ケルトナー,R&B
ジム・ゴードン,ロック
ジャイアント吉田,コメディ
ジャギ古川CAP,ヘヴィメタル
シャグラット,ヘヴィメタル
ジャッキー吉川,J-POP
ジャック・ディジョネット,"ジャズ, フュージョン"
shuji,J-POP
淳士,"ロック, J-POP"
ジョーイ・クレイマー ,ロック
ジョージ川口,ジャズ
ジョージ・コリアス,ヘヴィメタル
ジョー・ジョーンズ,ジャズ
リアド 偉武,"J-POP, ロック"
庄村聡泰,"ロック, J-POP"
ジョニー吉長,ロック
ジョン・スタークス,"ファンク, ソウル, R&B, ブルース"
ジョン・ハイズマン,ロック
ジョン・ボーナム,ロック
ジョン・マッケンタイア,ロック
白根賢一,ロック
神宮司治,J-POP
神保彰,"フュージョン, J-POP"
ジンジャー・フィッシュ,ロック
ジンジャー・ベイカー,"ブルース, R&B, ロック, フュージョン"
真太郎,"J-POP, ロック"
真矢 ,"J-POP, ロック"
Shinya,"J-POP, ロック"
菅沼孝三,"ジャズ, フュージョン, ロック, クラシック"
鈴木さえ子,"ロック, J-POP"
鈴木英哉 ,"ロック, J-POP"
スチュワート・コープランド,"ロック, レゲエ, ポップス, ジャズ"
スティーブ・アシェイム,ヘヴィメタル
スティーヴ・ガッド,"ジャズ, フュージョン, ロック, ブルース, R&B"
スティーヴ・ジャンセン,ロック
スティーヴ・ジョーダン,"ポップス, ロック, R&B, フュージョン"
スティーヴ・スミス,ジャズ
スティーヴ・フェローン,ロック
スライ・ダンバー,レゲエ
そうる透,"ロック, J-POP"
ターキー,"ロック, J-POP"
ダーク・ヴェルビューレン,ヘヴィメタル
太我,"ロック, J-POP"
田嶋悟士,ロック
高田政良,"ロック, J-POP"
高野真太郎,J-POP
